"% negative,",cik,filingdate
0.8978493910418736,66740,2019-02-07
1.9313446090076276,12927,2019-02-08
1.312647757741337,1666700,2019-02-11
2.178234755479457,731766,2019-02-12
0.7420122472536287,4962,2019-02-13
2.3841186992879684,18230,2019-02-14
2.3907027791285125,86312,2019-02-14
2.0631718423675296,732712,2019-02-15
2.3727660761282183,200406,2019-02-20
1.8968624370408016,21344,2019-02-21
2.263044636304824,63908,2019-02-22
1.9974476448317549,93410,2019-02-22
1.8257556634020145,19617,2019-02-26
1.01433553998058,51143,2019-02-26
3.7285563535457404,886982,2019-02-26
2.0935102914311434,310158,2019-02-27
0.757307415312667,34088,2019-02-27
2.213873686630432,78003,2019-02-28
2.2777223011671994,104169,2019-03-28
2.0372353842160864,354950,2019-03-28
1.5359931543480585,320187,2019-07-23
0.6171606325867531,789019,2019-08-01
1.9325838305642944,80424,2019-08-06
2.0637220554151696,858877,2019-09-05
1.936833054949779,1618921,2019-10-28
2.051006298970656,320193,2019-10-31
2.0665842177295235,1403161,2019-11-14
1.9417037473143943,1744489,2019-11-20
