"file name,","file size,","number of words,","% positive,","% negative,","% uncertainty,","% litigious,","% modal-weak,","% modal moderate,","% modal strong,","% constraining,","# of alphabetic,","# of digits,","# of numbers,","avg # of syllables per word,","average word length,",vocabulary
./files\20100208_10-K_edgar_data_12927_0001193125-10-024406_1.txt,6274792,434929,0.19336489404017668,1.7862685633747117,0.3317782902496729,0.41271104019276705,0.09702733089768675,0.06483816898850157,0.09173911144117775,0.19060582301938936,3952193,261227,92512,1.563388507089663,4.9540637667297425,3692
./files\20100210_10-K_edgar_data_731766_0001193125-10-027229_1.txt,5649396,429029,0.1449785445739099,1.2938519307552636,0.25825760030207745,0.37013814916940346,0.07458703257821732,0.0575718657713115,0.0703915119956926,0.15010640306366235,3589669,210676,76065,1.5261159502038324,4.83779418174529,3467
./files\20100211_10-K_edgar_data_101829_0001193125-10-027861_1.txt,6819640,564954,0.2101056015179997,1.3951578358592027,0.27329658697876286,0.3504710117991907,0.06283697433773369,0.06212895209167472,0.08142255829678169,0.13169213776696864,4324288,419572,97008,1.5238479593028813,4.964060790790047,3549
./files\20100216_10-K_edgar_data_66740_0001104659-10-007295_1.txt,12834085,1080748,0.11575316354968967,0.8147135132334272,0.16331281667881875,0.24640341689274467,0.03830680232579658,0.03516083305266352,0.0402499009944964,0.09317620758955834,8132885,673032,153523,1.4644079840999011,5.078178261722437,4127
./files\20100217_10-K_edgar_data_30554_0001047469-10-000954_1.txt,6507554,546099,0.3753898102724964,0.3142287387451726,0.17048190895789958,0.22486765220225638,0.05108963759318365,0.0342428753760765,0.04907535080635562,0.09192472427160643,4230143,367025,76311,1.503870177385419,4.925454908359107,3797
./files\20100218_10-K_edgar_data_86312_0001047469-10-000972_1.txt,11026836,960867,0.18993263375680505,1.1578085208462774,0.30691032161579074,0.4846664522769541,0.09137580955532867,0.06317211435089351,0.0826337047687141,0.1809823836181282,7167547,357518,145797,1.5063166910717092,4.934514350060935,4602
./files\20100219_10-K_edgar_data_18230_0000018230-10-000092_1.txt,32681880,1443803,0.10825576619524964,0.5723772564539622,0.1218310254238286,0.11850647214336027,0.03539264013165231,0.033314794331359615,0.025211195710218084,0.07154715705674528,11787077,1079198,300600,1.480380633646003,5.079210252368225,4543
./files\20100219_10-K_edgar_data_40545_0000040545-10-000010_1.txt,22391867,2022896,0.08324698847592758,0.7260877474669979,0.12200330615118127,0.32651208959827893,0.03925065846192785,0.03841027912458179,0.060012971502242336,0.11305573791237909,13479506,1182754,226809,1.4747115027168969,4.980644086497773,5454
./files\20100222_10-K_edgar_data_50863_0000950123-10-015237_1.txt,7415180,426626,0.27377609428398647,1.9665936909611696,0.4130081148359453,0.3462048726519246,0.11110433963237121,0.08110147998481104,0.09141496298865985,0.2533835256172854,4220441,289147,99648,1.5929924570935667,5.030626356574611,3742
./files\20100223_10-K_edgar_data_51143_0001047469-10-001151_1.txt,16515375,1388333,0.14016810088069648,0.6602162449498787,0.15536618376138867,0.17711889006455944,0.04746699819135611,0.02557023423054844,0.044873960353892045,0.0776470774662851,10614733,840047,191785,1.4608959089786095,5.051363757830434,4255
