master %negative,cik,filingdate,harvard %negative,excessret
1.7862685633747115,12927,2010-02-08,1.1255236811572051,0.011151365697064985
1.2938519307552636,731766,2010-02-10,0.7393196567526836,-0.031873618703654794
1.3951578358592027,101829,2010-02-11,0.7156462851518698,0.0030527419941310807
0.8147135132334272,66740,2010-02-16,0.5022628130316987,-0.001963241016893269
0.3142287387451726,30554,2010-02-17,0.6472018575058961,
1.1578085208462774,86312,2010-02-18,0.9874960152726986,0.0027510800056426143
0.5723772564539622,18230,2010-02-19,3.5827810090626264,-0.017246794491311723
0.7260877474669979,40545,2010-02-19,2.8992517083561533,-0.0014977297560213598
1.9665936909611696,50863,2010-02-22,0.7787737403960747,-0.010693294565888523
0.6602162449498787,51143,2010-02-23,0.4613678516811745,0.004880649399011672
1.9169680219388423,19617,2010-02-24,1.317149149934378,0.015782432219282105
1.2379443296138104,1103982,2010-02-25,0.8942262347885147,-0.0017839565638702037
0.8776561467111801,732717,2010-02-25,1.9435507784725168,-0.0024926310546400376
2.5826682874407627,93410,2010-02-25,0.9275646801390139,0.00680802597895469
1.3025063262947305,21344,2010-02-26,0.8918463881985087,0.02168061775136354
0.8837316427317132,34088,2010-02-26,0.7073336858425718,-0.0053598014965492435
1.1696370160379042,4962,2010-02-26,0.953657694685044,0.006816508113525188
1.897452434698484,63908,2010-02-26,1.0031906355824378,-0.01809136902111297
1.1968152601074316,70858,2010-02-26,0.922077743944257,-0.02652152122457596
1.8324108098051075,732712,2010-02-26,0.8884199060521479,0.00023922078030613747
1.7326305505749109,78003,2010-02-26,1.2297638033803469,-0.024049170895456773
0.9708712222254504,831001,2010-02-26,0.5066661833362786,-0.002689916339619236
2.7940426496420683,200406,2010-03-01,1.1460386348403708,-0.00535631869219122
1.9924343121178976,310158,2010-03-01,1.0821144557188267,-0.00970799277355816
1.8193666560991932,886982,2010-03-01,0.8112274341664439,0.052359551472278554
3.2123012889038827,354950,2010-03-25,1.0102070957366502,-0.009699593443680099
2.51438552687484,104169,2010-03-30,1.2365358871382968,-0.012533475672844352
0.7553048054141086,1467858,2010-04-07,1.0617861181343464,
2.5584893179724233,320187,2010-07-20,1.0489199303262884,0.019513695174074863
